"","aco","site","workgroup_collapsed","speakanon","WC","Analytic","Clout","Authentic","Tone","WPS","Sixltr","Dic","function.","pronoun","ppron","i","we","you","shehe","they","ipron","article","prep","auxverb","adverb","conj","negate","verb","adj","compare","interrog","number","quant","affect","posemo","negemo","anx","anger","sad","social","family","friend","female","male","cogproc","insight","cause","discrep","tentat","certain","differ","percept","see","hear","feel","bio","body","health","sexual","ingest","drives","affiliation","achieve","power","reward","risk","focuspast","focuspresent","focusfuture","relativ","motion","space","time","work","leisure","home","money","relig","death","informal","swear","netspeak","assent","nonflu","filler"
"1812",1,102,5,"660dddf2",1,92.84,50,1,25.77,1,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1813",1,102,5,"interviewer",8,11.24,50,7.84,25.77,8,25,100,62.5,0,0,0,0,0,0,0,0,12.5,12.5,12.5,25,25,0,12.5,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,12.5,0,12.5,0,0,12.5,0,12.5,0,0,0,0,25,0,12.5,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0
"1814",1,102,5,"660dddf2",2,1,50,1,25.77,2,0,100,50,0,0,0,0,0,0,0,0,0,0,50,50,0,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1815",1,102,5,"interviewer",8,11.24,99,1,25.77,8,12.5,62.5,62.5,25,25,0,0,25,0,0,0,0,12.5,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1816",1,102,5,"660dddf2",50,1.28,78.82,93.3,63.69,16.67,16,90,54,30,20,8,4,6,0,2,10,0,6,12,6,8,2,28,4,2,4,2,2,2,2,0,0,0,0,12,0,0,0,0,22,14,0,0,2,2,4,0,0,0,0,4,0,4,0,0,8,4,0,4,0,0,4,18,2,4,0,4,0,2,0,0,0,0,0,8,0,0,6,2,0
"1817",1,102,5,"interviewer",10,1.8,99,3.37,25.77,10,20,70,60,20,20,0,0,20,0,0,0,0,10,20,10,10,0,20,0,0,10,0,10,0,0,0,0,0,0,20,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"1818",1,102,5,"660dddf2",4,1,1,99,25.77,4,0,100,75,25,25,25,0,0,0,0,0,0,0,25,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1819",1,102,5,"interviewer",10,99,50,93.3,25.77,10,20,100,60,0,0,0,0,0,0,0,0,20,40,0,0,0,0,0,0,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,30,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"1820",1,102,5,"660dddf2",2,1.8,50,1,25.77,2,100,100,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1821",1,102,5,"interviewer",6,92.84,95.2,98.01,25.77,6,0,66.67,33.33,16.67,16.67,0,0,16.67,0,0,0,0,16.67,0,0,0,0,16.67,33.33,33.33,0,33.33,16.67,0,0,0,0,0,0,16.67,0,0,0,0,33.33,16.67,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
