"","aco","site","workgroup_collapsed","speakanon","WC","Analytic","Clout","Authentic","Tone","WPS","Sixltr","Dic","function.","pronoun","ppron","i","we","you","shehe","they","ipron","article","prep","auxverb","adverb","conj","negate","verb","adj","compare","interrog","number","quant","affect","posemo","negemo","anx","anger","sad","social","family","friend","female","male","cogproc","insight","cause","discrep","tentat","certain","differ","percept","see","hear","feel","bio","body","health","sexual","ingest","drives","affiliation","achieve","power","reward","risk","focuspast","focuspresent","focusfuture","relativ","motion","space","time","work","leisure","home","money","relig","death","informal","swear","netspeak","assent","nonflu","filler","perform"
"332",1,101,"PCP","interviewer",9,1,86.68,99,25.77,9,11.11,100,77.78,44.44,22.22,11.11,0,11.11,0,0,22.22,0,11.11,11.11,11.11,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,22.22,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,0,0,11.11,22.22,0,33.33,11.11,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"333",1,101,"PCP","a404055b",144,20.68,77.75,78.31,86.13,24,15.28,93.75,62.5,22.92,14.58,6.94,2.08,0.69,0,4.86,8.33,5.56,14.58,13.19,8.33,6.25,1.39,25.69,4.86,3.47,2.08,0.69,2.08,5.56,4.17,0.69,0.69,0,0,15.28,0,0,0,0,15.97,4.86,0.69,0.69,9.03,0,2.08,2.08,0.69,1.39,0,1.39,0.69,0.69,0,0,7.64,2.08,2.08,2.08,2.08,0,1.39,24.31,2.78,12.5,1.39,4.86,6.25,0.69,0,0.69,0,0,0,0.69,0,0,0.69,0,0,"low"
"334",1,101,"PCP","interviewer",12,99,79.76,1.79,99,12,41.67,75,50,0,0,0,0,0,0,0,0,16.67,16.67,8.33,8.33,0,0,8.33,0,0,0,0,0,8.33,8.33,0,0,0,0,8.33,0,0,0,0,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,16.67,8.33,0,0,0,8.33,0,8.33,0,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,"low"
"335",1,101,"PCP","a404055b",323,23.42,93.13,62.5,31.03,40.38,14.55,95.67,64.4,20.43,13,2.48,6.5,2.17,1.55,0.31,7.12,6.19,13.93,12.38,8.05,8.05,1.86,23.22,3.1,1.55,2.17,0.93,2.79,2.17,1.24,0.93,0.62,0,0,14.55,0,0,1.55,0,15.48,3.41,2.48,2.79,3.41,0.62,4.02,0.31,0.31,0,0,1.86,0,1.86,0,0,13.31,7.43,1.24,2.17,2.79,1.24,5.26,15.48,1.55,17.34,1.86,8.98,6.19,3.41,0,0,0.31,0,0,0,0,0,0,0,0,"low"
"336",1,101,"PCP","interviewer",3,1,1,99,25.77,3,33.33,100,33.33,33.33,0,0,0,0,0,0,0,0,0,0,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,0,0,0,33.33,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,66.67,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"337",1,101,"PCP","a404055b",1,92.84,50,1,25.77,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,"low"
"338",1,101,"PCP","interviewer",25,81.4,78.82,20.24,25.77,25,48,84,48,4,4,0,0,0,0,4,0,0,20,12,4,8,0,16,8,0,0,0,4,8,4,4,4,0,0,16,0,0,0,0,16,0,0,0,12,4,8,0,0,0,0,4,0,4,0,0,16,8,0,0,4,4,4,8,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"339",1,101,"PCP","a404055b",72,1.8,71.09,81.54,25.77,24,12.5,97.22,72.22,19.44,15.28,4.17,9.72,0,0,1.39,4.17,4.17,11.11,16.67,12.5,9.72,6.94,23.61,5.56,1.39,0,0,0,2.78,1.39,1.39,0,0,0,15.28,0,0,0,0,23.61,4.17,0,4.17,6.94,2.78,8.33,0,0,0,0,1.39,0,1.39,0,0,16.67,9.72,4.17,1.39,1.39,1.39,0,20.83,1.39,13.89,0,8.33,5.56,2.78,0,0,0,0,0,0,0,0,0,0,0,"low"
"340",1,101,"PCP","interviewer",7,1,50,1,25.77,7,28.57,100,57.14,0,0,0,0,0,0,0,0,0,0,14.29,42.86,14.29,0,28.57,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,14.29,0,14.29,0,0,14.29,0,14.29,0,0,0,0,14.29,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,"low"
"341",1,101,"PCP","a404055b",7,67.14,50,13.15,25.77,7,57.14,100,14.29,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,28.57,0,0,0,0,0,0,0,0,0,14.29,0,14.29,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,"low"
